FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,BeforeTaxInterestRate,AfterTaxInterestRate,AfterTaxInterest,BestInterestRate,JoinMember,InterestCalcMethod,ContactDepartment,HompUrl,CalTel,JoinWay,SpclCnd,MtrtInt,EtcNote,직업,학습,건강,관계,주거,사회참여,여가,재무,발급제한
12120,310008,삼호저축은행,정기적금(인터넷-모바일),자유적립식,0.017,0.0144,-,제한없음,제한없음,단리,http://samhosb.co.kr,15880568,"인터넷,스마트폰",없음,-만기후1개월이내해지시약정금리적용-만기후1개월초과이후해지시보통예금이율적용(2020.7월27일현재보통예금이율0.5%),없음,0,0,0,0,0,0,0,100,0
12120,310013,삼호저축은행,정기적금(자유적립식),자유적립식,0.017,0.0144,-,제한없음,제한없음,단리,http://samhosb.co.kr,15880568,영업점,없음,-만기후1개월이내해지시약정금리적용-만기후1개월초과이후해지시보통예금이율적용(2020.7월27일현재보통예금이율0.5%),없음,0,0,0,0,0,0,0,100,0
12120,310015,삼호저축은행,정기적금(자유적립식-인터넷뱅킹),자유적립식,0.017,0.0144,-,제한없음,제한없음,단리,http://samhosb.co.kr,15880568,"인터넷,스마트폰",없음,-만기후1개월이내해지시약정금리적용-만기후1개월초과이후해지시보통예금이율적용(2020.7월27일현재보통예금이율0.5%),없음,0,0,0,0,0,0,0,100,0
10576,311002,진주저축은행,자유적립식적금,자유적립식,0.017,0.0144,-,제한없음,제한없음,단리,http://www.jinjubank.net,18770030,"영업점,인터넷,스마트폰",없음,-만기후2개월이내:보통예금금리(연1.0%)-만기후2개월초과:연0.1%,없음,0,0,0,0,0,0,0,100,0
10456,310011,키움저축은행,기업 정기적금,정액적립식,0.017,0.0144,"9,348","법인(영리법인,비영리법인)",제한없음,단리,http://www.kiwoombank.com,16700077,영업점,없음,-만기후1개월이내당초약정금리또는만기시동일상품동일계약기간의신규약정금리중낮은이율-만기후1개월초과연0.2%(신규시점의보통예금금리)※2019년7월1일이후신규가입계좌에한함.,없음,0,0,0,0,0,0,0,100,0
10456,310012,키움저축은행,"e-plus 기업정기적금 (인터넷뱅킹,스마트뱅킹)",정액적립식,0.017,0.0144,"9,348","법인(영리법인,비영리법인)",제한없음,단리,http://www.kiwoombank.com,16700077,"인터넷,스마트폰",없음,-만기후1개월이내당초약정금리또는만기시동일상품동일계약기간의신규약정금리중낮은이율-만기후1개월초과연0.2%(신규시점의보통예금금리)※2019년7월1일이후신규가입계좌에한함.,인터넷가입,0,0,0,0,0,0,0,100,1
13351,310001,OK저축은행,OK 정기적금,정액적립식,0.017,0.0144,"9,348",제한없음,제한없음,단리,http://www.oksavingsbank.com/,18997979,"영업점,인터넷,스마트폰",-,"만기후1개월이하약정이율혹은만기시점해당상품이율중낮은이율,만기후1개월초과시부터0.1%",-,0,0,0,0,0,0,0,100,1
10030,03010,한국산업은행,KDBdream 자유적금,자유적립식,0.0169,0.0143,-,개인및개인사업자,제한없음,단리,http://www.kdb.co.kr,215881500,"영업점,인터넷,스마트폰","KDBdreamAccount계좌에서자동이체방법으로납입하는경우,연0.10%가산",*만기후1년이내:만기일현재일반정기적금해당예금기간기본이자율의1/2*만기후1년초과:만기일현재보통예금이자율,이자율적용방식선택가능1)최초납입일고정금리식2)수시납입일고정금리식,30,0,0,0,0,0,0,70,0
13175,10-059-1267-0001,농협은행주식회사,e-금리우대적금,자유적립식,0.0167,0.0141,-,개인,제한없음,단리,https://banking.nonghyup.com,16613000,"인터넷,스마트폰","1.NH채움카드이용실적100만원:0.1%p2.추천계좌와피추천계좌에각각:0.1%p,최대0.3%p※추천및피추천횟수5회※매월2천만원이내",만기후3개월이내:만기시점국고채1년물금리만기후1년이내:기본금리의1/2만기후1년초과:보통예금금리*이적금만기시점의계약기간별기본금리,"초입금5만원이상,매회1만원이상(계좌별)매월5백만원이내(1인당)에서자유적립(단,적립기간3/4경과후적립할수있는금액은이전적립금액의1/2이내)",0,0,0,0,0,0,0,100,0
10556,310003,머스트삼일저축은행,비대면정기적금,정액적립식,0.016,0.0135,"8,798",제한없음,제한없음,단리,http://www.samilbank.co.kr/,542754060,스마트폰,없음,-만기후1개월이내:약정이율Ⅹ100%-만기후1개월초과:연0.2%,없음,0,0,0,0,0,0,0,100,0
10556,310008,머스트삼일저축은행,정기적금,정액적립식,0.016,0.0135,"8,798",제한없음,제한없음,단리,http://www.samilbank.co.kr/,542754060,영업점,없음,-만기후1개월이내:약정이율Ⅹ100%-만기후1개월초과:연0.2%,없음,0,0,0,0,0,0,0,100,0
10556,310009,머스트삼일저축은행,e-정기적금,정액적립식,0.016,0.0135,"8,798",제한없음,제한없음,단리,http://www.samilbank.co.kr/,542754060,인터넷,없음,-만기후1개월이내:약정이율Ⅹ100%-만기후1개월초과:연0.2%,없음,0,0,0,0,0,0,0,100,0
10350,310010,스카이저축은행,정기적금,자유적립식,0.016,0.0135,-,제한없음,제한없음,단리,http://www.skysb.co.kr,15884111,"영업점,인터넷,스마트폰",-인터넷(스마트뱅킹포함)6개월~36개월창구금리+0.1%,-만기후(2019.07.01이전예금가입자):보통예금이율-만기후1개월이내(2019.07.01이후예금가입자):만기시점동일상품동일계약기간의신규약정금리-만기후1개월초과:연0.5%,최소금액:1만원이상,0,0,0,0,0,0,0,100,0
10350,310013,스카이저축은행,b-정기적금,자유적립식,0.016,0.0135,-,제한없음,제한없음,단리,http://www.skysb.co.kr,15884111,"인터넷,스마트폰",없음,-만기후(2019.07.01이전예금가입자):보통예금이율-만기후1개월이내(2019.07.01이후예금가입자):만기시점동일상품동일계약기간의신규약정금리-만기후1개월초과:연0.5%,최소금액:1만원이상,0,0,0,0,0,0,0,100,0
10350,310011,스카이저축은행,e-정기적금,자유적립식,0.016,0.0135,-,제한없음,제한없음,단리,http://www.skysb.co.kr,15884111,"인터넷,스마트폰",없음,-만기후(2019.07.01이전예금가입자):보통예금이율-만기후1개월이내(2019.07.01이후예금가입자):만기시점동일상품동일계약기간의신규약정금리-만기후1개월초과:연0.5%,최소금액:1만원이상,0,0,0,0,0,0,0,100,0
13313,31040,신한저축은행,e-자유적립적금,자유적립식,0.016,0.0135,-,제한없음,제한없음,단리,http://www.shinhansavings.com,16447777,인터넷,없음,-1개월이내:약정금리-1개월초과:보통예금금리,"-이자지급방식:만기일시지급-해지방법:영업점내방또는인터넷,스마트폰뱅킹접속하여해약",0,0,0,0,0,0,0,100,0
13313,31140,신한저축은행,smart-자유적립적금,자유적립식,0.016,0.0135,-,제한없음,제한없음,단리,http://www.shinhansavings.com,16447777,스마트폰,없음,-1개월이내:약정금리-1개월초과:보통예금금리,"-이자지급방식:만기일시지급-해지방법:영업점내방또는인터넷,스마트폰뱅킹접속하여해약",0,0,0,0,0,0,0,100,0
